Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","4","Algeria","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","90.29","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","5511","Production","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","4","Algeria","5611","Import Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","4","Algeria","5911","Export Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","4","Algeria","5301","Domestic supply quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","382","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","24.3","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","286","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","4","Algeria","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","4","Algeria","5911","Export Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","4","Algeria","5301","Domestic supply quantity","2734","Poultry Meat","2018","2018","1000 tonnes","286","S","Standardized data"
"FBS","Food Balances (2010-)","4","Algeria","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","23","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","2.08","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","5511","Production","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","7","Angola","5611","Import Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","7","Angola","5911","Export Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","7","Angola","5301","Domestic supply quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","7","Angola","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2451","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","53.8","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","5511","Production","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","7","Angola","5611","Import Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","7","Angola","5911","Export Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","7","Angola","5301","Domestic supply quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","219","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","16.67","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","41","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","7","Angola","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","335","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","7","Angola","5911","Export Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","7","Angola","5301","Domestic supply quantity","2734","Poultry Meat","2018","2018","1000 tonnes","376","S","Standardized data"
"FBS","Food Balances (2010-)","7","Angola","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","41","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","4.16","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5511","Production","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5611","Import Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5911","Export Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5301","Domestic supply quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2470","Fc","Calculated data"
